order_id,customer_id,product_id,order_date,qty,unit_price,discount_pct,status
O0003,C042,P013,01/08/2026,1,1390.08,10,pending
O0007,C046,P001,2026-08-04,-2,996.79,0,paid
O0008,C015,P005,2026-08-04,3,1299.0,0,pending
O0009,C055,P013,2026-08-01,2,1390.08,10,pending
O0010,C009,P008,01/08/2026,4,330.64,0,pending
O0012,C007,P012,01/08/2026,1,686.96,0,pending
O0014,C033,P002,03-Aug-2026,1,757.5,5,cancelled
O0017,C035,P006,03-Aug-2026,2,1322.8,0,cancelled
O0019,C029,P009,2026-08-04,3,754.77,0,cancelled
O0020,C033,P014,2026/08/02,3,586.17,10,cancelled
O0021,C014,P005,2026-08-04,2,1299.0,150,cancelled
O0022,C032,P004,2026-08-04,4,390.89,0,cancelled
O0023,C001,P010,2026-08-01,4,1072.6,0,cancelled
O0026,C016,P008,01/08/2026,4,330.64,5,pending
O0032,C045,P009,2026-08-01,4,754.77,10,pending
O0033,C053,P009,2026-08-04,2,754.77,0,cancelled
O0034,C041,P004,not-a-date,2,390.89,0,paid
O0035,C059,P012,01/08/2026,3,686.96,5,cancelled
O0039,C026,P011,2026-08-01,1,1236.35,0,cancelled
O0040,C044,P006,2026-08-01,3,1322.8,5,cancelled
O0045,C021,P007,03-Aug-2026,4,344.97,5,pending
O0047,C012,P007,2026/08/02,4,344.97,5,pending
O0049,C999,P002,2026-08-04,4,757.5,0,cancelled
O0051,C053,P015,01/08/2026,4,750.94,5,cancelled
O0053,C047,P003,2026/08/02,1,503.9,5,pending
O0055,C018,P011,2026/08/02,3,1236.35,0,pending
O0058,C040,P002,2026/08/02,2,757.5,10,pending
O0060,C017,P005,2026/08/02,3,1299.0,10,cancelled
O0061,C037,P014,03-Aug-2026,1,586.17,0,cancelled
O0062,C039,P011,03-Aug-2026,1,1236.35,0,pending
O0063,C031,P003,2026-08-04,4,503.9,0,pending
O0064,C032,P007,2026-08-04,3,344.97,10,cancelled
O0065,C020,P006,03-Aug-2026,3,1322.8,5,cancelled
O0070,C049,P004,2026-08-04,1,390.89,0,pending
O0073,C023,P009,2026-08-01,2,754.77,5,pending
O0074,C009,P011,03-Aug-2026,4,1236.35,5,cancelled
O0076,C047,P999,03-Aug-2026,2,503.9,0,cancelled
O0077,C058,P005,2026/08/02,3,1299.0,5,cancelled
O0084,C052,P002,2026-08-04,4,757.5,0,pending
O0086,C010,P011,2026/08/02,3,1236.35,0,pending
O0088,C035,P002,2026-08-04,4,757.5,10,pending
O0091,C019,P015,01/08/2026,2,-100.0,5,completed
O0092,C024,P015,2026/08/02,1,750.94,10,cancelled
O0093,C039,P015,03-Aug-2026,3,750.94,5,pending
O0095,C024,P014,2026-08-01,3,586.17,5,pending
O0096,C038,P007,2026-08-04,2,344.97,5,pending
O0097,C035,P003,01/08/2026,2,503.9,0,pending
O0098,C057,P014,2026-08-01,3,586.17,0,cancelled
O0100,C042,P014,2026-08-01,4,586.17,5,cancelled
O0103,C046,P004,2026-08-04,4,390.89,5,pending
O0104,C026,P006,2026/08/02,3,1322.8,0,pending
O0105,C032,P009,2026-08-04,1,754.77,0,pending
O0110,C025,P007,2026/08/02,3,344.97,0,pending
O0114,C038,P004,2026-08-04,4,390.89,0,pending
O0116,C041,P009,2026/08/02,4,754.77,10,pending
O0117,C059,P006,03-Aug-2026,1,1322.8,0,pending
O0120,C029,P013,03-Aug-2026,2,1390.08,0,pending
O0121,C011,P013,01/08/2026,3,1390.08,5,cancelled
O0124,C053,P003,2026/08/02,1,503.9,5,cancelled
O0126,C048,P010,2026-08-01,3,1072.6,0,pending
O0129,C020,P007,2026-08-04,1,344.97,5,pending
O0131,C007,P011,03-Aug-2026,4,1236.35,0,pending
O0133,C037,P002,2026-08-01,4,757.5,0,cancelled
O0140,C015,P001,2026-08-01,2,996.79,10,pending
O0142,C050,P003,03-Aug-2026,4,503.9,5,pending
O0148,C040,P009,2026-08-04,2,754.77,0,cancelled
O0150,C050,P002,01/08/2026,2,757.5,10,cancelled
O0156,C049,P010,01/08/2026,3,1072.6,0,cancelled
O0157,C036,P013,03-Aug-2026,1,1390.08,0,pending
O0158,C012,P013,2026/08/02,2,1390.08,10,cancelled
O0159,C038,P011,01/08/2026,1,1236.35,0,pending
O0163,C026,P008,03-Aug-2026,1,330.64,5,pending
O0164,C058,P010,2026/08/02,4,1072.6,10,pending
O0165,C054,P015,03-Aug-2026,4,750.94,0,cancelled
O0166,C008,P015,2026-08-04,3,750.94,10,pending
O0167,C058,P001,2026-08-01,3,996.79,5,cancelled
O0169,C057,P010,01/08/2026,1,1072.6,0,pending
O0171,C034,P015,2026-08-04,2,750.94,5,pending
O0172,C016,P015,2026/08/02,1,750.94,10,cancelled
O0178,C030,P015,2026/08/02,3,750.94,5,pending
